,Type of Accomodation,Address,Room Type,Number of Rooms,Free cancellation cleaned,Travelers,Bathrooms,Rating,Number of comments,Price per night,Host,Host experience,Extracted Region,Top Keywords
209,suite ," Vernoux-en-Vivarais, France",Studio,0,no,2,1.0,4.98,127.0,83.0,Stéphanie Et Mylène,depuis 4 ans,Auvergne-Rhône-Alpes,"vue, déjeuner, calme"
210,appartement ," Nogent-sur-Seine, France",Studio,0,no,2,1.0,4.78,63.0,36.0,Anthony Et Deborah,depuis 2 ans,Grand Est,"studio, propre, calme"
211,appartement ," Laveline-devant-Bruyères, France",Room,1,yes,2,1.0,5.0,71.0,158.0,Jordan,6 mois,Grand Est,"propre, déjeuner, sauna"
212,appartement ," Reims, France",Room,1,no,2,1.0,,1.0,69.0,Pierre-Marie,5 mois,Grand Est,"accueillant, accueillante, aimable"
213,Cabane perchée ," Haulmé, France",Room,2,no,4,,4.86,315.0,140.0,Cabane Et Vallee,depuis 8 ans,Grand Est,"cabane, expérience, déjeuner"
214,Gîte à la ferme ," Tabanac, France",Room,2,no,4,1.0,4.95,42.0,49.0,François,depuis 7 ans,Nouvelle-Aquitaine,"château, vue, confortable"
215,maison d'hôtes ," La Croix-Blanche, France",Room,1,yes,2,1.0,4.96,470.0,105.0,Sophie,depuis 6 ans,Nouvelle-Aquitaine,"atypique, déjeuner, accueillante"
216,appartement ," Pins-Justaret, France",Room,1,yes,2,1.0,4.99,139.0,150.0,Émilie,depuis 2 ans,Occitanie,"déjeuner, copieux, décoration"
217,cottage ," Servance-Miellin, France",Room,2,yes,4,1.0,4.96,72.0,153.0,Hermine,depuis 8 ans,Bourgogne-Franche-Comté,"calme, nature, confortable"
218,appartement ," Avon, France",Studio,0,yes,2,1.0,4.9,240.0,136.0,Pascal,depuis 10 ans,Île-de-France,"expérience, propre, calme"
219,Gîte à la ferme ," LE PUECH, France",Room,1,yes,2,1.0,4.98,219.0,155.0,Julien,depuis 2 ans,Occitanie,"marine, déjeuner, nature"
220,appartement ," Boissy-l'Aillerie, France",Room,1,no,2,1.0,4.89,63.0,105.0,Arunthan,6 mois,Île-de-France,"propre, calme, cosy"
221,appartement ," Stosswihr, France",Room,1,yes,2,1.0,4.97,257.0,52.0,Anne Et Patrick,depuis 6 ans,Grand Est,"calme, cuisine, grand"
222,hébergement ," Pluherlin, France",Room,2,yes,4,1.0,4.87,402.0,,Francoise,depuis 8 ans,Bretagne,"accueillante, calme, propre"
223,cabane ," Saint-Julien, France",Room,1,yes,4,1.0,4.96,24.0,67.0,Ludwig,3 mois,Bourgogne-Franche-Comté,"animal, cabane, calme"
224,hébergement ," Mallièvre, France",Room,1,no,4,1.0,4.72,713.0,,Cindy Et Guillaume,depuis 7 ans,Pays de la Loire,"sauna, calme, propre"
